away_pitcher,away_team,condition,date,final_score_away,final_score_home,first_inning_run_scored,first_inning_runs_away,first_inning_runs_home,game_id,home_pitcher,home_team,temperature,venue,wind
Louis Varland,Minnesota Twins,Partly Cloudy,2024-04-15,4,7,1,0,2,747053,Cole Irvin,Baltimore Orioles,80,Oriole Park at Camden Yards,"8 mph, Out To RF"
Michael Lorenzen,Texas Rangers,Clear,2024-04-15,1,0,0,0,0,746488,Reese Olson,Detroit Tigers,64,Comerica Park,"0 mph, Calm"
Cal Quantrill,Colorado Rockies,Partly Cloudy,2024-04-15,1,2,0,0,0,745597,Aaron Nola,Philadelphia Phillies,77,Citizens Bank Park,"11 mph, Out To CF"
Kyle Harrison,San Francisco Giants,Partly Cloudy,2024-04-15,4,3,0,0,0,746080,Edward Cabrera,Miami Marlins,76,loanDepot park,"10 mph, L To R"
Patrick Sandoval,Los Angeles Angels,Dome,2024-04-15,7,3,0,0,0,745106,Zach Eflin,Tampa Bay Rays,72,Tropicana Field,"0 mph, None"
Luis Gil,New York Yankees,Roof Closed,2024-04-15,1,3,0,0,0,744951,Chris Bassitt,Toronto Blue Jays,68,Rogers Centre,"0 mph, None"
Martín Pérez,Pittsburgh Pirates,Partly Cloudy,2024-04-15,3,6,0,0,0,745840,Adrian Houser,New York Mets,72,Citi Field,"5 mph, Out To RF"
Seth Lugo,Kansas City Royals,Clear,2024-04-15,2,0,0,0,0,746813,Nick Nastrini,Chicago White Sox,65,Guaranteed Rate Field,"9 mph, In From LF"
Joe Musgrove,San Diego Padres,Roof Closed,2024-04-15,7,3,1,0,1,746002,Joe Ross,Milwaukee Brewers,71,American Family Field,"0 mph, None"
Darius Vines,Atlanta Braves,Roof Closed,2024-04-15,6,1,1,0,1,746406,Spencer Arrighetti,Houston Astros,73,Minute Maid Park,"0 mph, None"
Ben Brown,Chicago Cubs,Clear,2024-04-15,3,2,0,0,0,747213,Merrill Kelly,Arizona Diamondbacks,75,Chase Field,"4 mph, Out To RF"
Sonny Gray,St. Louis Cardinals,Partly Cloudy,2024-04-15,3,1,1,1,0,745677,Ross Stripling,Oakland Athletics,61,Oakland Coliseum,"12 mph, Out To RF"
Frankie Montas,Cincinnati Reds,Roof Closed,2024-04-15,3,9,1,0,3,745268,George Kirby,Seattle Mariners,50,T-Mobile Park,"0 mph, Calm"
Mitchell Parker,Washington Nationals,Clear,2024-04-15,6,4,1,1,1,746158,Tyler Glasnow,Los Angeles Dodgers,62,Dodger Stadium,"6 mph, Out To RF"
Jon Gray,Texas Rangers,Sunny,2024-04-16,2,4,0,0,0,746486,Casey Mize,Detroit Tigers,64,Comerica Park,"11 mph, Out To LF"
Chris Paddack,Minnesota Twins,Clear,2024-04-16,3,11,0,0,0,747051,Grayson Rodriguez,Baltimore Orioles,71,Oriole Park at Camden Yards,"7 mph, Out To LF"
Austin Gomber,Colorado Rockies,Clear,2024-04-16,0,5,1,0,2,745593,Ranger Suárez,Philadelphia Phillies,72,Citizens Bank Park,"12 mph, In From LF"
Jordan Hicks,San Francisco Giants,Partly Cloudy,2024-04-16,3,6,0,0,0,746081,Ryan Weathers,Miami Marlins,78,loanDepot park,"12 mph, In From LF"
José Soriano,Los Angeles Angels,Dome,2024-04-16,6,7,0,0,0,745108,Aaron Civale,Tampa Bay Rays,72,Tropicana Field,"0 mph, None"
Carlos Rodón,New York Yankees,Roof Closed,2024-04-16,4,5,0,0,0,744944,Yusei Kikuchi,Toronto Blue Jays,68,Rogers Centre,"0 mph, None"
Tanner Bibee,Cleveland Guardians,Partly Cloudy,2024-04-16,10,7,0,0,0,746976,Garrett Whitlock,Boston Red Sox,64,Fenway Park,"5 mph, In From LF"
Jared Jones,Pittsburgh Pirates,Clear,2024-04-16,1,3,0,0,0,745837,Jose Quintana,New York Mets,67,Citi Field,"5 mph, L To R"
Dylan Cease,San Diego Padres,Roof Closed,2024-04-16,6,3,1,4,1,746004,Wade Miley,Milwaukee Brewers,56,American Family Field,"0 mph, None"
Reynaldo López,Atlanta Braves,Roof Closed,2024-04-16,6,2,0,0,0,746400,Hunter Brown,Houston Astros,73,Minute Maid Park,"0 mph, None"
Kyle Hendricks,Chicago Cubs,Clear,2024-04-16,11,12,0,0,0,747214,Tommy Henry,Arizona Diamondbacks,83,Chase Field,"5 mph, Out To RF"
Hunter Greene,Cincinnati Reds,Clear,2024-04-16,1,3,0,0,0,745270,Logan Gilbert,Seattle Mariners,51,T-Mobile Park,"7 mph, Out To CF"
Lance Lynn,St. Louis Cardinals,Partly Cloudy,2024-04-16,3,2,0,0,0,745674,JP Sears,Oakland Athletics,68,Oakland Coliseum,"11 mph, Out To RF"
Patrick Corbin,Washington Nationals,Clear,2024-04-16,2,6,1,0,1,746157,Kyle Hurt,Los Angeles Dodgers,68,Dodger Stadium,"3 mph, Out To CF"
Keaton Winn,San Francisco Giants,Roof Closed,2024-04-17,3,1,0,0,0,746076,Trevor Rogers,Miami Marlins,72,loanDepot park,"0 mph, None"
Pablo López,Minnesota Twins,Cloudy,2024-04-17,2,4,1,0,1,747049,Albert Suárez,Baltimore Orioles,68,Oriole Park at Camden Yards,"6 mph, Out To LF"
Bailey Falter,Pittsburgh Pirates,Cloudy,2024-04-17,1,9,0,0,0,745836,Luis Severino,New York Mets,60,Citi Field,"10 mph, R To L"
Dane Dunning,Texas Rangers,Cloudy,2024-04-17,5,4,1,1,0,746487,Tarik Skubal,Detroit Tigers,69,Comerica Park,"13 mph, In From RF"
Michael King,San Diego Padres,Roof Closed,2024-04-17,0,1,0,0,0,746005,Bryse Wilson,Milwaukee Brewers,66,American Family Field,"0 mph, None"
Max Fried,Atlanta Braves,Roof Closed,2024-04-17,5,4,1,0,1,746401,J.P. France,Houston Astros,73,Minute Maid Park,"0 mph, None"
