away_pitcher,away_team,condition,date,final_score_away,final_score_home,first_inning_run_scored,first_inning_runs_away,first_inning_runs_home,game_id,home_pitcher,home_team,temperature,venue,wind
Wade Miley,Milwaukee Brewers,Overcast,2023-06-28,5,2,1,2,0,717581,Kodai Senga,New York Mets,78,Citi Field,"6 mph, Out To RF"
Cristian Javier,Houston Astros,Partly Cloudy,2023-06-28,10,7,1,3,4,717582,Miles Mikolas,St. Louis Cardinals,91,Busch Stadium,"11 mph, In From RF"
Joey Wentz,Detroit Tigers,Roof Closed,2023-06-28,2,10,1,0,4,717580,Dane Dunning,Texas Rangers,74,Globe Life Field,"0 mph, None"
Aaron Nola,Philadelphia Phillies,Overcast,2023-06-28,8,5,0,0,0,717584,Drew Smyly,Chicago Cubs,74,Wrigley Field,"5 mph, R To L"
Logan Allen,Cleveland Guardians,Clear,2023-06-28,14,1,0,0,0,717577,Austin Cox,Kansas City Royals,96,Kauffman Stadium,"13 mph, R To L"
Michael Grove,Los Angeles Dodgers,Partly Cloudy,2023-06-28,8,9,0,0,0,717578,Kyle Freeland,Colorado Rockies,84,Coors Field,"9 mph, In From CF"
Lucas Giolito,Chicago White Sox,Clear,2023-06-28,11,5,1,2,2,717576,Jaime Barria,Los Angeles Angels,71,Angel Stadium,"5 mph, R To L"
Zach Eflin,Tampa Bay Rays,Roof Closed,2023-06-28,3,2,0,0,0,717575,Zach Davies,Arizona Diamondbacks,78,Chase Field,"0 mph, None"
Domingo Germán,New York Yankees,Partly Cloudy,2023-06-28,11,0,0,0,0,717579,JP Sears,Oakland Athletics,59,Oakland Coliseum,"14 mph, Out To RF"
Joe Musgrove,San Diego Padres,Overcast,2023-06-29,4,5,0,0,0,717571,Luis Ortiz,Pittsburgh Pirates,78,PNC Park,"3 mph, In From CF"
Reese Olson,Detroit Tigers,Roof Closed,2023-06-29,8,5,1,0,1,717570,Cody Bradford,Texas Rangers,74,Globe Life Field,"0 mph, None"
Shane Bieber,Cleveland Guardians,Sunny,2023-06-29,3,4,0,0,0,717573,Zack Greinke,Kansas City Royals,87,Kauffman Stadium,"8 mph, L To R"
Clarke Schmidt,New York Yankees,Sunny,2023-06-29,10,4,1,0,1,717574,Hogan Harris,Oakland Athletics,69,Oakland Coliseum,"6 mph, Out To RF"
Zack Littell,Tampa Bay Rays,Roof Closed,2023-06-29,6,1,1,1,0,717568,Brandon Pfaadt,Arizona Diamondbacks,74,Chase Field,"0 mph, None"
Lance Lynn,Chicago White Sox,Sunny,2023-06-29,9,7,1,1,1,717560,Patrick Sandoval,Los Angeles Angels,75,Angel Stadium,"8 mph, Out To LF"
Jesús Luzardo,Miami Marlins,Partly Cloudy,2023-06-29,2,0,0,0,0,717569,Brayan Bello,Boston Red Sox,77,Fenway Park,"9 mph, Out To CF"
Keaton Winn,San Francisco Giants,Clear,2023-06-29,1,2,0,0,0,717564,Chris Bassitt,Toronto Blue Jays,74,Rogers Centre,"7 mph, R To L"
Adrian Houser,Milwaukee Brewers,Partly Cloudy,2023-06-29,3,2,0,0,0,717565,Max Scherzer,New York Mets,77,Citi Field,"8 mph, Out To LF"
J.P. France,Houston Astros,Partly Cloudy,2023-06-29,14,0,0,0,0,717566,Adam Wainwright,St. Louis Cardinals,85,Busch Stadium,"10 mph, In From RF"
Taijuan Walker,Philadelphia Phillies,Cloudy,2023-06-29,3,1,1,1,0,717567,Kyle Hendricks,Chicago Cubs,76,Wrigley Field,"4 mph, Out To CF"
Emmet Sheehan,Los Angeles Dodgers,Partly Cloudy,2023-06-29,14,3,1,1,1,717572,Chase Anderson,Colorado Rockies,68,Coors Field,"4 mph, Out To LF"
